Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/06/01 8:39:41 pm GMT+8,6/1/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),7,WhatsApp,4.3,0,0
2022/06/01 8:40:18 pm GMT+8,6/1/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),4,Instagram,3.5,2,1
2022/06/01 8:40:36 pm GMT+8,6/1/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,Messenger,3.8,0,0
2022/06/01 8:56:07 pm GMT+8,6/1/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),2,TikTok,4.6,1,2
2022/06/01 9:08:44 pm GMT+8,6/1/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),3,TikTok,4.6,0,0
2022/06/01 9:19:42 pm GMT+8,6/1/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),9,YouTube,4.2,0,1
2022/06/01 9:39:57 pm GMT+8,6/1/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),3,WhatsApp,4.3,0,0
2022/06/01 9:59:46 pm GMT+8,6/1/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/06/02 10:42:51 pm GMT+8,6/2/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),3,Instagram,3.5,0,1
2022/06/02 10:54:50 pm GMT+8,6/2/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),2,YouTube,4.2,0,0
2022/06/02 11:11:32 pm GMT+8,6/2/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),7,WhatsApp,4.3,0,0
2022/06/02 11:22:09 pm GMT+8,6/2/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),6,YouTube,4.2,7,93
2022/06/02 8:09:27 pm GMT+8,6/2/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),2.5,TikTok,4.6,0,0
2022/06/02 8:10:20 pm GMT+8,6/2/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),10.5,YouTube,4.2,3,5
2022/06/02 8:10:39 pm GMT+8,6/2/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),1.5,WhatsApp ,4.3,0,0
2022/06/02 8:10:39 pm GMT+8,6/2/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),2,WhatsApp,4.3,0,0
2022/06/02 8:12:07 pm GMT+8,6/2/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,Messenger,3.8,1,0
2022/06/02 8:12:42 pm GMT+8,6/2/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),6,WhatsApp,4.3,1,1
2022/06/02 8:14:07 pm GMT+8,6/2/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),2,TikTok,4.6,0,0
